Timestamp,base_PosX,base_PosY,base_PosZ,base_RotX,base_RotY,base_RotZ,base_RotW,base_jointAngle,shoulder_PosX,shoulder_PosY,shoulder_PosZ,shoulder_RotX,shoulder_RotY,shoulder_RotZ,shoulder_RotW,shoulder_jointAngle,elbow_PosX,elbow_PosY,elbow_PosZ,elbow_RotX,elbow_RotY,elbow_RotZ,elbow_RotW,elbow_jointAngle,wrist1_PosX,wrist1_PosY,wrist1_PosZ,wrist1_RotX,wrist1_RotY,wrist1_RotZ,wrist1_RotW,wrist1_jointAngle,wrist2_PosX,wrist2_PosY,wrist2_PosZ,wrist2_RotX,wrist2_RotY,wrist2_RotZ,wrist2_RotW,wrist2_jointAngle,wrist3_PosX,wrist3_PosY,wrist3_PosZ,wrist3_RotX,wrist3_RotY,wrist3_RotZ,wrist3_RotW,wrist3_jointAngle,ee_PosX,ee_PosY,ee_PosZ,ee_RotX,ee_RotY,ee_RotZ,ee_RotW,suctionOn,blockAttracted
0.000,1.454,0.953,-0.014,0.000,-0.707,0.000,0.707,0.036,1.454,0.953,-0.150,0.362,-0.608,0.362,0.607,-28.418,1.080,1.155,-0.030,0.593,-0.384,0.594,0.384,52.569,0.722,0.995,-0.031,0.640,-0.301,0.640,0.301,-74.568,0.722,0.995,-0.124,0.141,-0.067,0.894,0.421,-72.021,0.649,0.935,-0.124,0.141,-0.067,0.894,0.421,-0.024,0.699,0.874,-0.149,0.052,-0.147,0.929,-0.334,False,False
0.176,1.454,0.953,-0.014,0.000,-0.889,0.000,0.459,35.371,1.533,0.953,-0.125,0.174,-0.822,0.337,0.425,-45.480,1.220,1.256,-0.200,0.356,-0.560,0.690,0.289,57.290,0.907,1.176,-0.422,0.366,-0.536,0.709,0.277,-85.942,0.961,1.176,-0.498,-0.242,-0.183,0.760,0.574,-89.935,0.887,1.150,-0.550,-0.242,-0.183,0.760,0.574,0.007,0.905,1.071,-0.538,-0.301,0.041,0.944,-0.132,False,False
0.278,1.454,0.953,-0.014,0.000,-0.956,0.000,0.294,55.839,1.566,0.953,-0.090,0.111,-0.885,0.361,0.272,-45.630,1.300,1.257,-0.269,0.228,-0.604,0.741,0.185,57.303,1.085,1.178,-0.587,0.234,-0.577,0.762,0.177,-85.943,1.162,1.178,-0.639,-0.373,-0.283,0.705,0.533,-89.935,1.111,1.152,-0.714,-0.373,-0.283,0.705,0.533,0.008,1.123,1.073,-0.696,-0.464,0.064,0.875,-0.121,False,False
0.384,1.454,0.953,-0.014,0.000,-0.996,0.000,0.084,80.394,1.588,0.953,-0.037,0.032,-0.923,0.376,0.078,-45.656,1.420,1.257,-0.310,0.065,-0.629,0.772,0.053,57.303,1.356,1.178,-0.688,0.067,-0.602,0.794,0.051,-85.943,1.448,1.178,-0.704,-0.514,-0.390,0.609,0.461,-89.936,1.433,1.152,-0.794,-0.514,-0.390,0.609,0.461,0.008,1.437,1.073,-0.772,-0.639,0.088,0.757,-0.105,False,False
0.488,1.454,0.953,-0.014,0.000,-0.996,0.000,-0.095,100.855,1.587,0.953,0.012,-0.036,-0.922,0.376,-0.088,-45.659,1.526,1.257,-0.303,-0.073,-0.629,0.772,-0.060,57.303,1.598,1.178,-0.680,-0.075,-0.601,0.793,-0.057,-85.943,1.689,1.178,-0.662,-0.614,-0.466,0.508,0.384,-89.936,1.707,1.152,-0.752,-0.614,-0.466,0.508,0.384,0.008,1.703,1.073,-0.730,-0.764,0.105,0.631,-0.087,False,False
0.596,1.454,0.953,-0.014,0.000,-0.963,0.000,-0.270,121.317,1.570,0.953,0.057,-0.102,-0.892,0.363,-0.250,-45.659,1.622,1.257,-0.259,-0.209,-0.608,0.746,-0.171,57.303,1.822,1.178,-0.588,-0.215,-0.581,0.767,-0.163,-85.943,1.901,1.178,-0.539,-0.695,-0.527,0.391,0.296,-89.936,1.949,1.152,-0.617,-0.695,-0.527,0.391,0.296,0.008,1.937,1.073,-0.598,-0.863,0.119,0.486,-0.067,False,False
0.698,1.454,0.953,-0.014,0.000,-0.900,0.000,-0.437,141.778,1.538,0.953,0.093,-0.165,-0.833,0.339,-0.404,-45.659,1.697,1.257,-0.185,-0.338,-0.568,0.697,-0.276,57.303,1.999,1.178,-0.423,-0.348,-0.543,0.717,-0.264,-85.943,2.057,1.178,-0.350,-0.753,-0.571,0.261,0.197,-89.936,2.128,1.152,-0.406,-0.753,-0.571,0.261,0.197,0.008,2.111,1.073,-0.392,-0.936,0.129,0.324,-0.045,False,False
0.804,1.454,0.953,-0.014,0.000,-0.798,0.000,-0.602,164.093,1.491,0.953,0.117,-0.227,-0.739,0.301,-0.558,-45.660,1.744,1.257,-0.080,-0.467,-0.504,0.619,-0.381,57.303,2.114,1.178,-0.185,-0.480,-0.482,0.636,-0.364,-85.943,2.139,1.178,-0.096,-0.789,-0.598,0.111,0.083,-89.953,2.227,1.152,-0.121,-0.789,-0.598,0.111,0.083,0.001,2.205,1.073,-0.115,-0.981,0.135,0.137,-0.019,False,False
0.905,1.454,0.953,-0.014,0.000,-0.740,0.000,-0.672,174.502,1.467,0.953,0.121,-0.254,-0.685,0.279,-0.623,-45.659,1.751,1.257,-0.026,-0.521,-0.468,0.574,-0.425,57.303,2.134,1.178,-0.063,-0.536,-0.447,0.590,-0.406,-85.944,2.143,1.178,0.029,-0.796,-0.603,0.039,0.029,-89.954,2.233,1.152,0.021,-0.796,-0.603,0.039,0.029,0.000,2.211,1.073,0.023,-0.989,0.136,0.048,-0.007,False,False
1.008,1.454,0.953,-0.014,0.000,-0.719,0.000,-0.695,177.980,1.459,0.953,0.122,-0.262,-0.666,0.272,-0.643,-45.656,1.751,1.257,-0.008,-0.538,-0.454,0.558,-0.439,57.304,2.135,1.178,-0.022,-0.554,-0.434,0.573,-0.419,-85.944,2.139,1.178,0.071,-0.797,-0.604,0.014,0.010,-89.954,2.230,1.152,0.068,-0.797,-0.604,0.014,0.010,0.000,2.207,1.073,0.069,-0.990,0.137,0.018,-0.003,False,False
